Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
245	NCT02409238	Insulin Resistance and Mild Cognitive Impairment (IRMCI) Study	IRMCI	Unknown status	No Results Available	Mild Cognitive Impairment|Insulin Resistance|Diabetes Mellitus, Type 2	Drug: Metformin|Behavioral: Intensive Lifestyle Intervention|Behavioral: Standard LIfestyle Recommendation	Primary efficacy endpoint (Cerebral Glucose Metabolic Rate)|Primary cognitive endpoint (Neuropsychological Performance)|Secondary clinical endpoints Subjective Memory and Cognitive Complaint (SMCC|Secondary clinical endpoints Basic Activities of Daily Liver (ADL)|Secondary clinical endpoints Cognitive Instrumental Activities of Daily Living Scale|Secondary clinical endpoints Global Clinical Dementia Rating Sum of Boxes|Secondary clinical endpoints Mini-Mental State Examination|Secondary clinical endpoints Montreal Cognitive Assessment scale|Secondary adherence endpoints fasting plasma insulin|Secondary adherence endpoints Homeostatic Model Assessment (HOMA)|Secondary adherence endpoints Lifestyle Intervention (Change in Weight)|Secondary adherence endpoints Body Mass Index|Secondary adherence endpoints Waist Circumference|Secondary adherence endpoints Fasting plasma glucose|Secondary adherence endpoints Glycated Hemoglobin (HbA1c)|Secondary adherence endpoints Fasting Lipids	SingHealth Polyclinics|National University, Singapore|Singapore General Hospital|Changi General Hospital|National University Hospital, Singapore|Singapore Clinical Research Institute|Agency for Science, Technology and Research|Khoo Teck Puat Hospital|Duke-NUS Graduate Medical School	All	55 Years and older   (Adult, Older Adult)	Phase 4	360	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MCI-LM 3	April 2015	December 2017		April 6, 2015		March 31, 2016	SingHealth Polyclinics - Marine Parade Polyclinic, Singapore, Singapore		https://ClinicalTrials.gov/show/NCT02409238
246	NCT00620191	Metformin in Amnestic Mild Cognitive Impairment	MCI	Completed	Has Results	Mild Cognitive Impairment	Drug: Metformin|Drug: Placebo	Change in Total Recall Score in the Selective Reminding Test|Change in Score of the Alzheimer's Disease Assessment Scale-cognitive Subscale (ADAS-cog)|Change in Relative Glucose Uptake (rCMRg) in the Posterior Cingulate-precuneus.	Columbia University|Institute for the Study of Aging (ISOA)|National Institute on Aging (NIA)	All	55 Years to 90 Years   (Adult, Older Adult)	Phase 2	80	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	AAAC7231|R01AG026413|270901	June 1, 2008	February 2012	February 2012	February 21, 2008	October 23, 2020	October 23, 2020	Columbia University Medical Center, New York, New York, United States		https://ClinicalTrials.gov/show/NCT00620191
247	NCT05399888	A Study to Assess if BIIB080 Can Change Clinical Dementia Rating-Sum of Boxes Scores, and BIIB080 Safety and Tolerability When Injected Into the Cerebrospinal Fluid of Participants With Mild Cognitive Impairment Due to Alzheimer's Disease (AD) or Mild AD Dementia Between 50 to 80 Years of Age	CELIA	Recruiting	No Results Available	Mild Cognitive Impairment Due to Alzheimer's Disease|Alzheimer's Disease Dementia	Drug: BIIB080|Drug: BIIB080-matching placebo	Dose-response in Change From Baseline to Week 76 on the CDR-SB|Change From Baseline to Week 76 on the CDR-SB|Change From Baseline to Week 76 on the Alzheimer's Disease Cooperative Study Activities of Daily Living for Mild Cognitive Impairment (ADCS-ADL-MCI)|Change From Baseline to Week 76 on the Alzheimer's Disease Assessment Scale Cognitive Subscale (ADAS-Cog 13)|Change From Baseline to Week 76 on the Mini Mental State Examination (MMSE)|Change From Baseline to Week 76 on the Modified Integrated Alzheimer's Disease Rating Scale (iADRS)|Change From Baseline to Week 76 on the Alzheimer's Disease Composite Score (ADCOMS)|Number of Participants With Treatment-Emergent Adverse Events (TEAEs) and Serious Adverse Events (SAEs)	Biogen	All	50 Years to 80 Years   (Adult, Older Adult)	Phase 2	735	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	247AD201|2021-006036-13	August 19, 2022	December 14, 2026	December 14, 2026	June 1, 2022		August 19, 2022	K2 Medical Research, LLC, Maitland, Florida, United States|Kingfisher Cooperative, LLC, Spokane, Washington, United States		https://ClinicalTrials.gov/show/NCT05399888
248	NCT01823666	Predicting the Conversion From Mild Cognitive Impairment to Dementia	PCMCItoD	Completed	No Results Available	Mild Cognitive Impairment|Alzheimer Disease|Dementia, Vascular		Rate of conversion to dementia|Mini-Mental State Examination|Immediate and delayed story recall|Clock Drawing Test(CDT)|Boston Naming Test|Verbal Category Fluency Test(animals)|Trail Making Test(TMT)|Hopkins Verbal Learning Test(HVLT)	Dongzhimen Hospital, Beijing	All	40 Years to 85 Years   (Adult, Older Adult)		250	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	Z11107056811043	September 2012	August 2014	September 2014	April 4, 2013		August 23, 2021	Dongzhimen Hospital affiliated to Beijing University of Chinese Medicine, Beijing, Beijing, China		https://ClinicalTrials.gov/show/NCT01823666
249	NCT02332525	The Influence of Oral Vibrational Stimulation on Cognitive Function of Elderly Individuals	OVSCF	Unknown status	No Results Available	Mild Cognitive Impairment	Device: Oral Vibrational Stimulation	cognitive function|quantitative electroencephalography (QEEG) and event-related potentials (ERPs)|functional magnetic resonance imaging (fMRI)|masticatory ability|salivary secretion	Seoul National University Bundang Hospital	All	50 Years to 75 Years   (Adult, Older Adult)	Phase 1|Phase 2	20	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	B-1407-260-006	January 2015	December 2015	December 2016	January 6, 2015		January 6, 2015			https://ClinicalTrials.gov/show/NCT02332525
250	NCT03581929	Efficacy of MEMORMAX in Subjects With MCI	ABO-MEMO	Completed	No Results Available	Mild Cognitive Impairment	Dietary Supplement: Memormax|Other: Placebo	Memormax efficacy on global cognitive performance (FCRST).|Memormax efficacy on global cognitive performance (ACE-R).|Effect of Memormax on global cognitive performance across the entire population (FCRST)|Effect of Memormax on global cognitive performance across the entire population (ACE-R)|variations of the main parameters of cognitive performance (MMSE)|variations of the main parameters of cognitive performance (Digit Span)|variations of the main parameters of cognitive performance (Trail Making)|variations of the main parameters of cognitive performance (Babcock)|variations of the main parameters of cognitive performance (Rey Test)|variations of the main parameters of cognitive performance (Raven Test)|variations of the main parameters of cognitive performance (Token Test)|variations of the main parameters of cognitive performance (Verbal Fluency)|variations of the main parameters of cognitive performance (NEPSY-II)|variations of the main parameters of cognitive performance (NPI)|variations of the main parameters of cognitive performance (GDS)|variations of the main parameters of cognitive performance (Cognitive Reserve Index)|variations of physical performance (BIA)|variations of physical performance (hand grip)|variations of physical performance ( timed up and go)|variations of physical performance (SPPB)|variations of physical performance (Frailty index)|variations of physical performance (ADL)|variations of physical performance (IADL)|variations of modification of biochemical parameters of inflammation.|variations of modification of oxidative stress conditions parameters.|variations of changes in the microbiota (bacteria subpopulations)|variations of changes in the microbiota (SCFA)|Safety and Tolerability (Adverse Events)	Aboca Spa Societa' Agricola|Latis S.r.l.	All	55 Years and older   (Adult, Older Adult)	Not Applicable	50	Industry	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Supportive Care	MEMORMAX	November 20, 2017	December 19, 2019	December 19, 2019	July 10, 2018		July 29, 2020	S.C. di Geriatria Ospedale S. Maria della Misericordia, Perugia, Italy		https://ClinicalTrials.gov/show/NCT03581929
251	NCT03805620	Effects of Combined Physical-cognitive Training on Cognitive Function in MCI		Completed	No Results Available	Mild Cognitive Impairment	Other: Combined physical-cognitive training|Other: Physical training|Other: Cognitive training	change from baseline Alzheimer's Disease Assessment- cognitive subscale at 3 months|change from baseline Rey auditory verbal learning score at 3 months|change from baseline Trail Making B-A score at 3 months|change from baseline brain-derived neurotrophic factor level at 3 months|change from baseline Digit Span score at 3 months|change from baseline stepping response time at 3 months|change from baseline time to complete Timed Up and Go at 3 months|change from baseline physiological profile assessment score at 3 months|change from baseline mitochondrial oxygen consumption rate at 3 months|change from baseline mitochondrial reactive oxygen species (ROS) level at 3 months	Chiang Mai University	All	60 Years to 80 Years   (Adult, Older Adult)	Not Applicable	100	Other	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Other	AMS-CMU	March 18, 2019	January 15, 2021	June 28, 2021	January 15, 2019		July 26, 2021	Faculty of Associated Medical Sciences, Chiang Mai University, Chiang Mai, Thailand		https://ClinicalTrials.gov/show/NCT03805620
252	NCT03872375	Calorie Restriction and Brain Function in Mild Cognitive Impairment	5-2CR	Completed	No Results Available	Mild Cognitive Impairment	Dietary Supplement: Meal-Replacement Therapy|Behavioral: Dietary Counseling	Body Weight|Homeostatic Model Assessment of Insulin Resistance (HOMA-IR)|Functional Magnetic Resonance Imaging memory task activation|Functional Magnetic Resonance Imaging executive function task activation|Cerebral blood flow|Neural network functional connectivity|Mini-Mental State Examination|NIH EXAMINER Dysexecutive Errors Composite Score|California Verbal Learning Test|Digit Span - Forward and Backward	Iowa State University|National Institute on Aging (NIA)	All	70 Years to 85 Years   (Older Adult)	Not Applicable	96	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	201612732|R00AG047282	May 8, 2019	December 31, 2021	December 31, 2021	March 13, 2019		March 31, 2022	Nutrition and Wellness Research Center, Ames, Iowa, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States		https://ClinicalTrials.gov/show/NCT03872375
253	NCT00702143	A Phase II Trial of 18F-AV-45 Positron Emission Tomography (PET) Imaging in Healthy Volunteers, Patients With Mild Cognitive Impairment (MCI) and Patients With Alzheimer's Disease (AD)		Completed	Has Results	Alzheimer's Disease|Mild Cognitive Impairment	Drug: florbetapir F 18	Qualitative Amyloid Image Assessment|Mean Cortical to Cerebellum SUVR|Proportion of Positive Florbetapir-PET Scans	Avid Radiopharmaceuticals	All	50 Years and older   (Adult, Older Adult)	Phase 2	184	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic	18F-AV-45-A05	June 2008	December 2008	December 2008	June 20, 2008	May 3, 2012	May 10, 2012	Research Site, Phoenix, Arizona, United States|Research Site, Scottsdale, Arizona, United States|Research Site, Sun City, Arizona, United States|Research Site, Tucson, Arizona, United States|Research Site, Costa Mesa, California, United States|Research Site, New Haven, Connecticut, United States|Research Site, Hallandale Beach, Florida, United States|Research Site, Miami Beach, Florida, United States|Research Site, St. Petersburg, Florida, United States|Research Site, Sunrise, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Albany, New York, United States|Research Site, Winston-Salem, North Carolina, United States|Research Site, Jenkintown, Pennsylvania, United States|Research Site, Bennington, Vermont, United States		https://ClinicalTrials.gov/show/NCT00702143
254	NCT05289804	Diminishing Accelerated Long-term Forgetting in Mild Cognitive Impairment		Not yet recruiting	No Results Available	Mild Cognitive Impairment|Memory Impairment|Memory Disorders in Old Age	Device: NITESGON|Drug: Lidocaine / Prilocaine Topical Cream|Device: C5/C6 stimulation|Device: Sham NITESGON	Word association task performance immediately after NITEGON/sham|Word association task performance at 7 days|Word association task performance at 28 days|EEG gamma oscillations	University of Dublin, Trinity College|Alzheimer's Association	All	50 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	SPREC102021-23|AARG-21-848486	September 1, 2022	March 31, 2025	December 31, 2025	March 21, 2022		May 18, 2022			https://ClinicalTrials.gov/show/NCT05289804
